	Mg-glutamate	K-glutamate	Amino acid	Spermidine	3-PGA	NTPs	PEG-8000	DNA	HEPES	Malachite green
170	45.0	142.5	222.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
171	0.0	0.0	222.5	52.5	337.5	152.5	787.5	1722.5	262.5	105.0
172	22.5	142.5	1312.5	52.5	225.0	152.5	1575.0	2100.0	262.5	105.0
173	45.0	142.5	1312.5	27.5	225.0	152.5	267.5	1722.5	262.5	105.0
174	22.5	420.0	1312.5	80.0	225.0	152.5	267.5	2100.0	262.5	105.0
175	67.5	0.0	880.0	0.0	337.5	152.5	267.5	2100.0	262.5	105.0
176	0.0	0.0	880.0	27.5	337.5	152.5	787.5	1345.0	262.5	105.0
177	45.0	142.5	880.0	80.0	337.5	152.5	1055.0	1722.5	262.5	105.0
178	45.0	142.5	432.5	105.0	337.5	152.5	1055.0	2100.0	262.5	105.0
179	0.0	420.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
180	22.5	420.0	1312.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
181	90.0	0.0	432.5	27.5	337.5	152.5	1055.0	2100.0	262.5	105.0
182	22.5	277.5	655.0	105.0	337.5	152.5	267.5	2100.0	262.5	105.0
183	22.5	142.5	432.5	80.0	337.5	152.5	0.0	2100.0	262.5	105.0
184	45.0	0.0	880.0	80.0	225.0	152.5	520.0	1722.5	262.5	105.0
185	0.0	0.0	1312.5	27.5	337.5	102.5	520.0	2100.0	262.5	105.0
186	45.0	142.5	1312.5	52.5	170.0	152.5	520.0	1722.5	262.5	105.0
187	22.5	277.5	1312.5	52.5	170.0	152.5	1055.0	2100.0	262.5	105.0
188	67.5	0.0	432.5	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
189	67.5	0.0	222.5	105.0	337.5	152.5	787.5	2100.0	262.5	105.0
190	22.5	277.5	880.0	27.5	337.5	152.5	267.5	1722.5	262.5	105.0
191	45.0	142.5	1312.5	105.0	337.5	152.5	267.5	1722.5	262.5	105.0
192	0.0	0.0	1312.5	52.5	225.0	152.5	1575.0	1345.0	262.5	105.0
193	0.0	0.0	0.0	0.0	337.5	152.5	787.5	1722.5	262.5	105.0
194	45.0	277.5	1312.5	52.5	225.0	152.5	0.0	1722.5	262.5	105.0
195	22.5	0.0	0.0	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
196	45.0	277.5	880.0	80.0	337.5	152.5	520.0	1722.5	262.5	105.0
197	22.5	0.0	880.0	0.0	170.0	152.5	1055.0	1722.5	262.5	105.0
198	22.5	142.5	1312.5	0.0	57.5	152.5	267.5	2100.0	262.5	105.0
199	67.5	0.0	1312.5	27.5	337.5	152.5	0.0	1722.5	262.5	105.0
200	0.0	0.0	880.0	27.5	337.5	152.5	520.0	2100.0	262.5	105.0
201	45.0	0.0	1312.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
202	22.5	0.0	1312.5	27.5	337.5	152.5	0.0	2100.0	262.5	105.0
203	22.5	0.0	1312.5	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
204	45.0	0.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
205	0.0	0.0	880.0	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
206	0.0	142.5	1312.5	80.0	225.0	152.5	1055.0	2100.0	262.5	105.0
207	22.5	142.5	655.0	80.0	337.5	152.5	787.5	2100.0	262.5	105.0
208	0.0	277.5	1312.5	80.0	225.0	152.5	520.0	2100.0	262.5	105.0
209	0.0	277.5	880.0	27.5	337.5	152.5	787.5	2100.0	262.5	105.0
210	0.0	142.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
211	22.5	0.0	880.0	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
212	45.0	0.0	432.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
213	45.0	0.0	655.0	27.5	225.0	152.5	787.5	2100.0	262.5	105.0
214	67.5	0.0	1312.5	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
215	0.0	0.0	1312.5	52.5	225.0	152.5	520.0	1345.0	262.5	105.0
216	45.0	0.0	222.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
217	22.5	277.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
218	45.0	0.0	222.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
219	0.0	142.5	880.0	80.0	170.0	152.5	787.5	2100.0	262.5	105.0
220	45.0	142.5	222.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
221	0.0	0.0	222.5	52.5	337.5	152.5	787.5	1722.5	262.5	105.0
222	22.5	142.5	1312.5	52.5	225.0	152.5	1575.0	2100.0	262.5	105.0
223	45.0	142.5	1312.5	27.5	225.0	152.5	267.5	1722.5	262.5	105.0
224	22.5	420.0	1312.5	80.0	225.0	152.5	267.5	2100.0	262.5	105.0
225	67.5	0.0	880.0	0.0	337.5	152.5	267.5	2100.0	262.5	105.0
226	0.0	0.0	880.0	27.5	337.5	152.5	787.5	1345.0	262.5	105.0
227	45.0	142.5	880.0	80.0	337.5	152.5	1055.0	1722.5	262.5	105.0
228	45.0	142.5	432.5	105.0	337.5	152.5	1055.0	2100.0	262.5	105.0
229	0.0	420.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
230	22.5	420.0	1312.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
231	90.0	0.0	432.5	27.5	337.5	152.5	1055.0	2100.0	262.5	105.0
232	22.5	277.5	655.0	105.0	337.5	152.5	267.5	2100.0	262.5	105.0
233	22.5	142.5	432.5	80.0	337.5	152.5	0.0	2100.0	262.5	105.0
234	45.0	0.0	880.0	80.0	225.0	152.5	520.0	1722.5	262.5	105.0
235	0.0	0.0	1312.5	27.5	337.5	102.5	520.0	2100.0	262.5	105.0
236	45.0	142.5	1312.5	52.5	170.0	152.5	520.0	1722.5	262.5	105.0
237	22.5	277.5	1312.5	52.5	170.0	152.5	1055.0	2100.0	262.5	105.0
238	67.5	0.0	432.5	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
239	67.5	0.0	222.5	105.0	337.5	152.5	787.5	2100.0	262.5	105.0
240	22.5	277.5	880.0	27.5	337.5	152.5	267.5	1722.5	262.5	105.0
241	45.0	142.5	1312.5	105.0	337.5	152.5	267.5	1722.5	262.5	105.0
242	0.0	0.0	1312.5	52.5	225.0	152.5	1575.0	1345.0	262.5	105.0
243	0.0	0.0	0.0	0.0	337.5	152.5	787.5	1722.5	262.5	105.0
244	45.0	277.5	1312.5	52.5	225.0	152.5	0.0	1722.5	262.5	105.0
245	22.5	0.0	0.0	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
246	45.0	277.5	880.0	80.0	337.5	152.5	520.0	1722.5	262.5	105.0
247	22.5	0.0	880.0	0.0	170.0	152.5	1055.0	1722.5	262.5	105.0
248	22.5	142.5	1312.5	0.0	57.5	152.5	267.5	2100.0	262.5	105.0
249	67.5	0.0	1312.5	27.5	337.5	152.5	0.0	1722.5	262.5	105.0
250	0.0	0.0	880.0	27.5	337.5	152.5	520.0	2100.0	262.5	105.0
251	45.0	0.0	1312.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
252	22.5	0.0	1312.5	27.5	337.5	152.5	0.0	2100.0	262.5	105.0
253	22.5	0.0	1312.5	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
254	45.0	0.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
255	0.0	0.0	880.0	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
256	0.0	142.5	1312.5	80.0	225.0	152.5	1055.0	2100.0	262.5	105.0
257	22.5	142.5	655.0	80.0	337.5	152.5	787.5	2100.0	262.5	105.0
258	0.0	277.5	1312.5	80.0	225.0	152.5	520.0	2100.0	262.5	105.0
259	0.0	277.5	880.0	27.5	337.5	152.5	787.5	2100.0	262.5	105.0
260	0.0	142.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
261	22.5	0.0	880.0	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
262	45.0	0.0	432.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
263	45.0	0.0	655.0	27.5	225.0	152.5	787.5	2100.0	262.5	105.0
264	67.5	0.0	1312.5	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
265	0.0	0.0	1312.5	52.5	225.0	152.5	520.0	1345.0	262.5	105.0
266	45.0	0.0	222.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
267	22.5	277.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
268	45.0	0.0	222.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
269	0.0	142.5	880.0	80.0	170.0	152.5	787.5	2100.0	262.5	105.0
270	45.0	142.5	222.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
271	0.0	0.0	222.5	52.5	337.5	152.5	787.5	1722.5	262.5	105.0
272	22.5	142.5	1312.5	52.5	225.0	152.5	1575.0	2100.0	262.5	105.0
273	45.0	142.5	1312.5	27.5	225.0	152.5	267.5	1722.5	262.5	105.0
274	22.5	420.0	1312.5	80.0	225.0	152.5	267.5	2100.0	262.5	105.0
275	67.5	0.0	880.0	0.0	337.5	152.5	267.5	2100.0	262.5	105.0
276	0.0	0.0	880.0	27.5	337.5	152.5	787.5	1345.0	262.5	105.0
277	45.0	142.5	880.0	80.0	337.5	152.5	1055.0	1722.5	262.5	105.0
278	45.0	142.5	432.5	105.0	337.5	152.5	1055.0	2100.0	262.5	105.0
279	0.0	420.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
280	22.5	420.0	1312.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
281	90.0	0.0	432.5	27.5	337.5	152.5	1055.0	2100.0	262.5	105.0
282	22.5	277.5	655.0	105.0	337.5	152.5	267.5	2100.0	262.5	105.0
283	22.5	142.5	432.5	80.0	337.5	152.5	0.0	2100.0	262.5	105.0
284	45.0	0.0	880.0	80.0	225.0	152.5	520.0	1722.5	262.5	105.0
285	0.0	0.0	1312.5	27.5	337.5	102.5	520.0	2100.0	262.5	105.0
286	45.0	142.5	1312.5	52.5	170.0	152.5	520.0	1722.5	262.5	105.0
287	22.5	277.5	1312.5	52.5	170.0	152.5	1055.0	2100.0	262.5	105.0
288	67.5	0.0	432.5	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
289	67.5	0.0	222.5	105.0	337.5	152.5	787.5	2100.0	262.5	105.0
290	22.5	277.5	880.0	27.5	337.5	152.5	267.5	1722.5	262.5	105.0
291	45.0	142.5	1312.5	105.0	337.5	152.5	267.5	1722.5	262.5	105.0
292	0.0	0.0	1312.5	52.5	225.0	152.5	1575.0	1345.0	262.5	105.0
293	0.0	0.0	0.0	0.0	337.5	152.5	787.5	1722.5	262.5	105.0
294	45.0	277.5	1312.5	52.5	225.0	152.5	0.0	1722.5	262.5	105.0
295	22.5	0.0	0.0	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
296	45.0	277.5	880.0	80.0	337.5	152.5	520.0	1722.5	262.5	105.0
297	22.5	0.0	880.0	0.0	170.0	152.5	1055.0	1722.5	262.5	105.0
298	22.5	142.5	1312.5	0.0	57.5	152.5	267.5	2100.0	262.5	105.0
299	67.5	0.0	1312.5	27.5	337.5	152.5	0.0	1722.5	262.5	105.0
